object_id	chunk
638aa2b4c7ac399cfb9b9053	1
638b2ddd68240c2696a2c7fa	6
638afac910611ebb8745f84c	11
638b3489dfd169b947c583d0	6
638b3cebdfd169b947c59c1f	15
638ac34468240c2696a1a055	2
638aa2f966c75cef773e1343	1
638ab784dfd169b947c3ed42	3
638aa4cb5e58c49e9eb25f46	1
638abed43bb81fcbba28e76b	2
638b4598bc7e0bc77518937a	16
638ac8eb68240c2696a1aeb0	6
638ae4295e58c49e9eb31c2c	10
638ac2f25e58c49e9eb2be20	6
638afdfbbc7e0bc77517c2a0	4
638b1673bc7e0bc77518087c	14
638ac5c45e58c49e9eb2c67d	2
638b1dcb5e58c49e9eb3c1d0	6
638aab01c812476e9133ff9d	1
638b1928c812476e913544b1	13
638ad1a668240c2696a1c292	7
638b447c10611ebb8746cd82	7
638aea8d10611ebb8745c70c	10
638aca0b68240c2696a1b173	6
638b453cc812476e9135c330	7
638ab07bc812476e913411cb	1
638acfe438ff42ebb37bf93a	2
638af2d8dfd169b947c4ae70	9
638aa44e38ff42ebb37b781e	1
638aba393bb81fcbba28d96b	4
